iso3,date,obesity_prevalence,diabetes_treatment,polluting_cooking_fuels,hypertension_treatment,mean_years_schooling,expected_years_schooling,alcohol_consumption,life_expectancy
AFG,2000,4.2326387,22.8506585,85.15,27.4,1.21225,6.121875,0.112357399,55.41475
AFG,2001,4.5774432,22.912989,82.69999999999999,28.45,1.2615,6.427125,0.112357399,55.9155
AFG,2002,4.947612250000001,22.9734215,80.4,29.549999999999997,1.311,6.732375,0.2921510075,56.573
AFG,2003,5.34342155,23.03314,77.975,30.6,1.36025,7.03775,0.6639728165000001,57.464875
AFG,2004,5.7651496,23.0882995,75.75,31.75,1.409625,7.945125,0.829198192,58.066125
AFG,2005,6.2137807,23.136139,73.25,32.85,1.459375,8.214500000000001,1.0844064505,58.484
AFG,2006,6.69066665,23.1743155,70.85,33.95,1.529875,8.4835,1.0088465925,58.807875
AFG,2007,7.19692185,23.210223,68.55,34.95,1.6005,8.752749999999999,1.196889368,59.23575
AFG,2008,7.7339876,23.2431995,66.3,35.95,1.671125,9.022125,1.00731542,59.97825
AFG,2009,8.301842950000001,23.274081,64.25,36.85,1.741875,9.291375,0.9188599365,60.491375
AFG,2010,8.90082065,23.30236,62.55,37.75,1.81275,9.597,0.5058174895,60.97925
AFG,2011,9.5341703,23.332444,60.599999999999994,38.6,1.857625,9.902625,0.3085915905,61.5485
AFG,2012,10.20667225,23.3668105,58.95,39.4,1.87675,10.127125,0.14928511,62.046625
AFG,2013,10.9230185,23.401755,57.6,40.15,1.8985,10.355125,0.14716495,62.535
AFG,2014,11.685418,23.4342055,56.2,40.9,1.922125,10.585875,0.150471741,62.65675
AFG,2015,12.49604635,23.467195,54.75,41.65,1.947375,10.50625,0.352813423,62.76475
AFG,2016,13.3531175,23.5009065,53.55,42.400000000000006,2.07875,10.5245,0.529048122,63.242625
AFG,2017,14.248064,23.539385000000003,52.349999999999994,43.099999999999994,2.210375,10.542875,0.6821909939999999,63.12225
AFG,2018,15.1718455,23.582986,51.275,43.75,2.341875,10.561125,0.649078942,63.1875
AFG,2019,16.120324,23.6351335,50.2,44.45,2.4732499999999997,10.64475,0.649078942,63.672375
AFG,2020,17.0937375,23.6989735,49.15,34.85,2.60475,10.729,0.448094776,62.680625
AFG,2021,18.091759,23.7835495,48.3,34.85,2.736375,10.729,11.3269366655,62.086625
AFG,2022,19.111488,23.883384,47.25,34.85,2.30525,10.729,11.3269366655,62.985
AGO,2000,5.17462715,11.48225725,56.075,11.6,2.3964444444444446,4.5680000000000005,9.4104581725,46.34061111111111
AGO,2001,5.452412949999999,11.4426346,56.349999999999994,12.15,2.4238333333333335,4.9725,9.4104581725,46.91038888888889
AGO,2002,5.735885000000001,11.40116285,56.55,12.65,2.452055555555555,5.376888888888889,9.768657558,47.71183333333333
AGO,2003,6.02222515,11.36277445,56.8,13.3,2.4804444444444447,5.781333333333333,9.982210956,49.958333333333336
AGO,2004,6.3086921,11.32527255,56.85,13.9,2.508555555555555,6.185888888888889,10.675316194,50.94005555555556
AGO,2005,6.59203475,11.28763935,57.05,14.6,2.5369444444444444,6.5905000000000005,11.5035971275,51.92472222222222
AGO,2006,6.8694580499999995,11.2479728,57.2,15.25,2.5652777777777778,6.994944444444445,12.290888357,52.72922222222222
AGO,2007,7.140181350000001,11.21046405,57.25,15.95,2.593611111111111,7.3995,12.7056736405,54.01088888888889
AGO,2008,7.40216805,11.1771387,57.45,16.6,2.621888888888889,7.803833333333333,12.918785591,55.00877777777778
AGO,2009,7.65303125,11.15248535,57.400000000000006,17.25,2.6502222222222223,8.208444444444446,13.323906165,56.1355
AGO,2010,7.8945697,11.1393195,57.45,17.950000000000003,2.6784444444444446,8.613111111111111,13.5895775395,57.11622222222223
